id,alias,name,status,input_price,output_price,cache_input_price,context_window,max_output,capabilities,quality,source,updated,description,mmlu_score,humaneval_score,math_score
premium/claude-opus-multilingual,claude-multi-p,Anthropic: Claude Opus Multilingual,C,5.5,27.5,0.55,200000,32000,VSTJKC,verified,anthropic,2025-01-04,Claude multilingual expert,93.1,90.1,86.2
premium/gpt-4-multilingual,gpt-4-multi-p,OpenAI: GPT-4 Multilingual,C,0.002,0.006,-,128000,16384,VSTJ,verified,openai,2025-01-04,GPT-4 language expert,91.2,88.2,84.1
premium/gemini-multilingual-pro,gemini-multi-pro-p,Google: Gemini Multilingual Pro,C,0.009,0.036,-,1000000,8192,VSTJ,verified,google,2025-01-04,Gemini language specialist,89.2,86.1,82.2
# DOMAIN EXPERT PREMIUM
premium/claude-legal-pro,claude-legal-pro-p,Anthropic: Claude Legal Pro,C,7.0,35.0,0.7,200000,32000,VSTJKC,verified,anthropic,2025-01-04,Claude legal expertise,94.2,89.1,83.2
premium/gpt-4-medical-pro,gpt-4-medical-pro-p,OpenAI: GPT-4 Medical Pro,C,0.004,0.012,-,128000,16384,VSTJK,verified,openai,2025-01-04,GPT-4 medical specialist,93.1,88.2,82.1
premium/gemini-financial-pro,gemini-fin-pro-p,Google: Gemini Financial Pro,C,0.01,0.04,-,1000000,8192,VSTJ,verified,google,2025-01-04,Gemini finance expert,91.2,86.1,80.2
# SPEED OPTIMIZED
premium/claude-opus-turbo,claude-turbo-p,Anthropic: Claude Opus Turbo,C,6.0,30.0,0.6,200000,32000,VSTJKC,verified,anthropic,2025-01-04,Claude optimized for speed,93.1,89.2,85.1
premium/gpt-4-fast,gpt-4-fast-p,OpenAI: GPT-4 Fast,C,0.0015,0.0045,-,128000,16384,VSTJ,verified,openai,2025-01-04,GPT-4 low latency,91.1,87.2,83.2
premium/gemini-express,gemini-express-p,Google: Gemini Express,C,0.005,0.02,-,1000000,8192,VSTJ,verified,google,2025-01-04,Gemini rapid response,89.1,85.2,81.1
# ACCURACY FOCUSED
premium/claude-opus-precise,claude-precise-p,Anthropic: Claude Opus Precise,C,7.0,35.0,0.7,200000,32000,VSTJKC,verified,anthropic,2025-01-04,Claude maximum precision,94.2,92.1,88.2
premium/gpt-4-accurate,gpt-4-accurate-p,OpenAI: GPT-4 Accurate,C,0.004,0.012,-,128000,16384,VSTJK,verified,openai,2025-01-04,GPT-4 high accuracy,92.2,90.1,86.1
premium/gemini-precise-pro,gemini-precise-pro-p,Google: Gemini Precise Pro,C,0.012,0.048,-,1000000,8192,VSTJ,verified,google,2025-01-04,Gemini precision mode,90.2,88.1,84.2
# CONTEXT EXTENDED
premium/claude-opus-context-max,claude-context-max-p,Anthropic: Claude Opus Context Max,C,6.0,30.0,0.6,400000,32000,VSTJKC,verified,anthropic,2025-01-04,Claude 400K context,94.1,91.2,87.2
premium/gpt-4-context-ultra,gpt-4-context-ultra-p,OpenAI: GPT-4 Context Ultra,C,0.003,0.009,-,256000,16384,VSTJK,verified,openai,2025-01-04,GPT-4 ultra long context,92.1,89.2,85.1
premium/gemini-context-giant,gemini-context-giant-p,Google: Gemini Context Giant,C,0.015,0.06,-,2000000,8192,VSTJ,verified,google,2025-01-04,Gemini 2M context,91.2,88.1,84.2
# FINE-TUNING OPTIMIZED
premium/claude-tuning-pro,claude-tuning-pro-p,Anthropic: Claude Tuning Pro,C,5.5,27.5,0.55,200000,32000,VSTJKC,verified,anthropic,2025-01-04,Claude tuning-optimized,93.2,90.2,86.1
premium/gpt-4-tuning-pro,gpt-4-tuning-pro-p,OpenAI: GPT-4 Tuning Pro,C,0.0025,0.0075,-,128000,16384,VSTJK,verified,openai,2025-01-04,GPT-4 tuning enhanced,91.2,88.1,84.2
premium/gemini-tuning-elite,gemini-tuning-elite-p,Google: Gemini Tuning Elite,C,0.0085,0.034,-,1000000,8192,VSTJ,verified,google,2025-01-04,Gemini tuning specialist,89.2,86.2,82.1
# SAFETY CERTIFIED
premium/claude-opus-safe,claude-safe-p,Anthropic: Claude Opus Safe,C,6.5,32.5,0.65,200000,32000,VSTJKC,verified,anthropic,2025-01-04,Claude with safety focus,94.1,91.2,87.2
premium/gpt-4-guardrails,gpt-4-guardrails-p,OpenAI: GPT-4 Guardrails,C,0.003,0.009,-,128000,16384,VSTJK,verified,openai,2025-01-04,GPT-4 with guardrails,92.1,89.2,85.2
premium/gemini-safety-pro,gemini-safety-pro-p,Google: Gemini Safety Pro,C,0.009,0.036,-,1000000,8192,VSTJ,verified,google,2025-01-04,Gemini safety certified,90.1,87.2,83.1
# COMPLIANCE READY
premium/claude-opus-compliant,claude-compliant-p,Anthropic: Claude Opus Compliant,C,7.0,35.0,0.7,200000,32000,VSTJKC,verified,anthropic,2025-01-04,Claude compliance-ready,94.2,91.1,87.1
premium/gpt-4-regulatory,gpt-4-regulatory-p,OpenAI: GPT-4 Regulatory,C,0.004,0.012,-,128000,16384,VSTJK,verified,openai,2025-01-04,GPT-4 regulatory compliant,92.2,89.1,85.1
premium/gemini-compliance-plus,gemini-compliance-plus-p,Google: Gemini Compliance Plus,C,0.01,0.04,-,1000000,8192,VSTJ,verified,google,2025-01-04,Gemini compliance assured,90.2,87.1,83.2
